year,winner,jockey,trainer,owner,distance,track_condition,time_string,time_sec,triple_crown_winner
2022,Rich Strike,Sonny Leon,Eric Reed,RED TR-Racing,1.25,Fast,2:02.61,122.61,FALSE
2021,Mandaloun,Florent Geroux,Brad H. Cox,Juddmonte Farm,1.25,Fast,2:01.02,121.02,FALSE
2020,Authentic,John Velazquez,Bob Baffert,"Spendthrift Farm LLC, MyRaceHorse Stable, Madaket Stables LLC, Starlight Racing",1.25,Fast,2:00.61,120.61,FALSE
