Date (GMT-7:00),CPM,ACPM,uSv/h,Latitude,Longitude
2023-09-16 11:04:43,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 10:59:42,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 10:54:40,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 10:49:38,6,13.33,0.04,38.864147,-77.7026515
2023-09-16 10:44:36,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 10:39:33,6,13.33,0.04,38.864147,-77.7026515
2023-09-16 10:34:31,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 10:29:29,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 10:24:27,20,13.33,0.13,38.864147,-77.7026515
2023-09-16 10:19:25,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 10:14:23,5,13.33,0.03,38.864147,-77.7026515
2023-09-16 10:09:21,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 10:04:19,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 09:59:17,21,13.33,0.14,38.864147,-77.7026515
2023-09-16 09:54:15,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 09:49:13,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 09:44:11,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 09:39:09,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 09:34:07,7,13.33,0.05,38.864147,-77.7026515
2023-09-16 09:29:05,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 09:24:03,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 09:19:01,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 09:13:59,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 09:08:57,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 09:03:56,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 08:58:53,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 08:53:51,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 08:48:50,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 08:43:47,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 08:38:45,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 08:33:43,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 08:28:41,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 08:23:39,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 08:18:37,20,13.33,0.13,38.864147,-77.7026515
2023-09-16 08:13:35,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 08:08:33,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 08:03:32,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 07:58:29,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 07:53:27,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 07:48:26,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 07:43:23,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 07:38:21,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 07:33:19,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 07:28:17,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 07:23:15,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 07:18:13,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 07:13:12,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 07:08:09,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 07:03:07,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 06:58:05,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 06:53:03,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 06:48:01,20,13.33,0.13,38.864147,-77.7026515
2023-09-16 06:43:01,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 06:37:57,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 06:32:55,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 06:27:53,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 06:22:51,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 06:17:49,14,13.33,0.09,38.864147,-77.7026515
2023-09-16 06:12:47,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 06:07:45,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 06:02:43,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 05:57:41,18,13.33,0.12,38.864147,-77.7026515
2023-09-16 05:52:39,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 05:47:37,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 05:42:35,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 05:37:33,13,13.33,0.08,38.864147,-77.7026515
2023-09-16 05:32:31,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 05:27:29,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 05:22:27,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 05:17:25,17,13.33,0.11,38.864147,-77.7026515
2023-09-16 05:12:23,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 05:07:21,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 05:02:19,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 04:57:17,8,13.33,0.05,38.864147,-77.7026515
2023-09-16 04:52:15,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 04:47:13,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 04:42:11,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 04:37:09,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 04:32:07,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 04:27:05,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 04:22:03,9,13.33,0.06,38.864147,-77.7026515
2023-09-16 04:17:01,16,13.33,0.1,38.864147,-77.7026515
2023-09-16 04:11:59,12,13.33,0.08,38.864147,-77.7026515
2023-09-16 04:06:57,20,13.33,0.13,38.864147,-77.7026515
2023-09-16 04:01:55,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 03:56:53,11,13.33,0.07,38.864147,-77.7026515
2023-09-16 03:51:51,15,13.33,0.1,38.864147,-77.7026515
2023-09-16 03:46:49,10,13.33,0.06,38.864147,-77.7026515
2023-09-16 03:41:47,12,13.33,0.08,38.864147,-77.7026515
