"In girum imus nocte et consumimur igni","We enter the circle at night and are consumed by fire."
"Roma tibi subito motibus ibit amor", "Rome, love will come to you suddenly with violence."
"Si bene te tua laus taxat, sua laute tenebis", "If your praise assesses you well, you will possess its reward splendidly."
"Sole medere pede, ede, perede melos", "Just heal your foot, eat, devour a tune."
