birth,death,name,title,empire,capital
c. 2360 BC,c. 2279 BC,Sargon of Akkad,Šar kiššati,Akkadian Empire,Akkade (Akkad)
c. 1481 BC,c. 1425 BC,Menkheperre (Thutmose),Nesut-Bity,Egyptian Empire,Waset (Thebes)
c. 780 BC,727 BC,Tiglath-Pileser III (Pulu),Šar māt Aššur,Neo-Assyrian Empire,Kalhu (Nimrud)
c. 600 BC,530 BC,Cyrus II,Xšāyaθiya Xšāyaθiyānām,Achaemenid Empire,Pārsagāda (Pasargadae)
356 BC,323 BC,Alexander III,Basileus,Macedonian Empire,Pella (Pella)
c. 340 BC,c. 297 BC,Chandragupta Maurya,Samrat,Mauryan Empire,Pāṭaliputra (Patna)
100 BC,44 BC,Gaius Julius Caesar,Dictator perpetuo,Roman Republic,Roma (Rome)
c. 1162,1227,Genghis Khan (Temüjin),Khagan,Mongol Empire,Ikh Aurag Ordo (Avarga)
1769,1821,Napoleon I (Napoleone di Buonaparte),Empereur des Français,First French Empire,Paris (Paris)
