Pos,Breeder,Pigeon,Arrival,Speed
99,Sierra Ranch Classic,0535-AU15-SIER,56:15.0,151.398
100,Terry Montgomery,0734-AU15-MTHD,56:19.0,151.311
101,Woodsend/Perry,1502-AU15-CERO,56:27.0,151.138
101,Lonestar Loft,0743-AU15-DEN,56:27.0,151.138
103,The Brand Syndicate,0552-AU15-RRR,56:29.0,151.095
103,J & M Partridge Loft,1028-AU15-PASO,56:29.0,151.095
105,A P C Loft,15085-AU15-APC,56:33.0,151.008
106,Kokomo Loft,32156-AU15-ARPU,56:40.0,150.857
107,Jb & D,1212-IF15-CCC,56:42.0,150.814
108,Jb & D,1200-IF15-CCC,56:43.0,150.793
109,Dave Harrett,0011-AU15-JEDD,56:48.0,150.685
110,Milner-Mckinsey,2483-AU15-VITA,56:55.0,150.535
111,Turk Loft,1509-AU15-ER,56:59.0,150.449
111,Sierra Ranch Classic,0522-AU15-SIER,56:59.0,150.449
113,Redtex,0100-AU15-RTEX,57:02.0,150.385
114,Redtex,0005-AU15-RTEX,57:04.0,150.342
115,Loizzi/Sikora,1736-AU15-FVC,57:07.0,150.278
116,Sandstrom Brothers Loft,0306-AU15-SBL,57:09.0,150.235
117,Rayce Loft,5007-AU15-UIF,57:12.0,150.171
118,Kwan Loft,0408-AU15-KWAN,57:14.0,150.128
119,Andy Skwiat,0038-AU15-ANDY,57:19.0,150.021
120,A P C Loft,15017-AU15-APC,57:27.0,149.851
121,Family Loft,0067-AU15-FAM,57:28.0,149.83
121,A P C Loft,15061-AU15-APC,57:28.0,149.83
123,Jb & D,2618-IF15-HAM,57:30.0,149.787
124,Sandstrom Brothers Loft,0304-AU15-SBL,57:36.0,149.66
124,Bionic Loft,0619-AU15-CAJN,57:36.0,149.66
126,Alias-Alias,2028-AU15-ALIA,57:37.0,149.639
127,Iv Aces Loft,7100-IF15-ACES,57:41.0,149.554
128,Jb & D,1208-IF15-CCC,57:44.0,149.49
129,Little Reata Loft,15449-AU15-JETT,57:47.0,149.427
130,Junior Juanich,0412-AU15-JRL,57:49.0,149.385
131,Family Loft,0155-AU15-FAM,57:51.0,149.342
131,Rayce Loft,5011-AU15-UIF,57:51.0,149.342
133,Fisher Family Loft,55362-AU15-ARPU,57:52.0,149.321
134,Rayce Loft,5042-AU15-UIF,57:53.0,149.3
135,Stenman Loft,5264-AU15-VITA,57:54.0,149.279
136,Shawnie & Lenny Loft,1121-AU15-SMCC,57:59.0,149.174
137,Redtex,0042-AU15-RTEX,58:01.0,149.131
138,Redtex,0099-AU15-RTEX,58:04.0,149.068
139,The Brand Syndicate,0535-AU15-RRR,58:18.0,148.774
140,Redtex,0050-AU15-RTEX,58:23.0,148.67
141,Credeur Family Loft,0106-AU15-CFL,58:31.0,148.502
142,Kiko Arana,57067-AU15-ARPU,58:36.0,148.398
142,Junior Juanich,0409-AU15-JRL,58:36.0,148.398
144,Nanez Family Lofts,2180-AU15-NANE,58:58.0,147.941
144,Jb & D,1291-IF15-CCC,58:58.0,147.941
146,Woodsend/Perry,1536-AU15-CERO,59:00.0,147.899
147,Non Pareil Loft,0020-AU15-NPL,59:18.0,147.527
148,Loizzi/Sikora,1741-AU15-FVC,59:25.0,147.383
149,Rick Barker,0317-AU15-VIP,59:26.0,147.363
150,Woodsend/Perry,1514-AU15-CERO,59:29.0,147.301
151,Fisher Family Loft,55341-AU15-ARPU,59:37.0,147.137
152,Debbie Ganus,0770-AU15-GFL,59:52.0,146.83
